id|type|name|url|
0|company|Kam_Air|http://dbpedia.org/resource/Kam_Air|
1|company|Balkh_Airlines|http://dbpedia.org/resource/Balkh_Airlines|
2|company|Khyber_Afghan_Airlines|http://dbpedia.org/resource/Khyber_Afghan_Airlines|
3|company|MarcoPolo_Airways|http://dbpedia.org/resource/MarcoPolo_Airways|
4|company|Pamir_Airways|http://dbpedia.org/resource/Pamir_Airways|
5|company|Bakhtar_Afghan_Airlines|http://dbpedia.org/resource/Bakhtar_Afghan_Airlines|
6|company|Safi_Airways|http://dbpedia.org/resource/Safi_Airways|
7|company|Air_Algérie|http://dbpedia.org/resource/Air_Algérie|
8|company|Khalifa_Airways|http://dbpedia.org/resource/Khalifa_Airways|
9|company|Tassili_Airlines|http://dbpedia.org/resource/Tassili_Airlines|
10|company|Antinea_Airlines|http://dbpedia.org/resource/Antinea_Airlines|
11|company|Star_Aviation|http://dbpedia.org/resource/Star_Aviation|
12|company|TAAG_Angola_Airlines|http://dbpedia.org/resource/TAAG_Angola_Airlines|
13|company|Aero_Tropical|http://dbpedia.org/resource/Aero_Tropical|
14|company|Angola_Air_Charter|http://dbpedia.org/resource/Angola_Air_Charter|
15|company|Alada|http://dbpedia.org/resource/Alada|
16|company|Air_Gemini|http://dbpedia.org/resource/Air_Gemini|
17|company|Aeronáutica_(Angola)|http://dbpedia.org/resource/Aeronáutica_(Angola)|
18|company|Diexim_Expresso|http://dbpedia.org/resource/Diexim_Expresso|
19|company|SonAir|http://dbpedia.org/resource/SonAir|
20|company|Air_26|http://dbpedia.org/resource/Air_26|
21|company|Aerolíneas_Argentinas|http://dbpedia.org/resource/Aerolíneas_Argentinas|
22|company|Austral_Líneas_Aéreas|http://dbpedia.org/resource/Austral_Líneas_Aéreas|
23|company|Líneas_Aéreas_Privadas_Argentinas|http://dbpedia.org/resource/Líneas_Aéreas_Privadas_Argentinas|
24|company|Aero_VIP_(Argentina)|http://dbpedia.org/resource/Aero_VIP_(Argentina)|
25|company|CATA_Línea_Aérea|http://dbpedia.org/resource/CATA_Línea_Aérea|
26|company|LADE|http://dbpedia.org/resource/LADE|
27|company|Líneas_Aéreas_Federales|http://dbpedia.org/resource/Líneas_Aéreas_Federales|
28|company|LAN_Argentina|http://dbpedia.org/resource/LAN_Argentina|
29|company|Sol_Líneas_Aéreas|http://dbpedia.org/resource/Sol_Líneas_Aéreas|
30|company|Andes_Líneas_Aéreas|http://dbpedia.org/resource/Andes_Líneas_Aéreas|
31|company|Silver_Sky_Airlines|http://dbpedia.org/resource/Silver_Sky_Airlines|
32|company|Dinar_Líneas_Aéreas|http://dbpedia.org/resource/Dinar_Líneas_Aéreas|
33|company|Aerochaco|http://dbpedia.org/resource/Aerochaco|
34|company|Trans_Australia_Airlines|http://dbpedia.org/resource/Trans_Australia_Airlines|
35|company|Ansett_Australia|http://dbpedia.org/resource/Ansett_Australia|
